distance,velocity,root
1.4,8.2,64.86053466796875
1.4,8.3,64.58587646484375
1.4,8.4,64.3304443359375
1.4,8.5,64.09149169921875
1.4,8.6,63.863525390625
1.4,8.7,63.65203857421875
1.4,8.8,63.44879150390625
1.4,8.9,63.25927734375
1.4,9,63.0780029296875
1.4,9.1,62.903594970703125
1.4,9.2,62.74017333984375
1.4,9.3,62.5836181640625
1.4,9.4,62.43255615234375
1.4,9.5,62.28973388671875
1.4,9.6,62.15240478515625
1.4,9.7,62.021942138671875
1.4,9.8,61.89697265625
1.4,9.9,61.776123046875
1.4,10,61.65802001953125
1.4,10.1,61.54815673828125
1.4,10.2,61.4410400390625
1.4,10.3,61.336669921875
1.4,10.4,61.23779296875
1.4,10.5,61.14166259765625
1.4,10.6,61.04827880859375
1.4,10.7,60.96038818359375
1.4,10.8,60.87249755859375
1.4,10.9,60.79010009765625
1.4,11,60.71044921875
1.4,11.1,60.63079833984375
1.4,11.2,60.556640625
1.4,11.3,60.48248291015625
1.4,11.4,60.41107177734375
1.4,11.5,60.3424072265625
1.4,11.6,60.2764892578125
1.4,11.7,60.21331787109375
1.4,11.8,60.150146484375
1.4,11.9,60.0897216796875
1.4,12,60.03204345703125
1.4,12.1,59.97161865234375
1.4,12.2,59.91668701171875
1.4,12.3,59.864501953125
1.4,12.4,59.81231689453125
1.4,12.5,59.7601318359375
1.5,7.5,66.6265869140625
1.5,7.6,66.05255126953125
1.5,7.7,65.54718017578125
1.5,7.8,65.093994140625
1.5,7.9,64.6820068359375
1.5,8,64.30709838867188
1.5,8.1,63.96240234375
1.5,8.2,63.64105224609375
1.5,8.3,63.3416748046875
1.5,8.4,63.06427001953125
1.5,8.5,62.8033447265625
1.5,8.6,62.55615234375
1.5,8.7,62.325439453125
1.5,8.8,62.105712890625
1.5,8.9,61.89971923828125
1.5,9,61.70196533203125
1.5,9.1,61.51519775390625
1.5,9.2,61.338043212890625
1.5,9.3,61.16912841796875
1.5,9.4,61.007080078125
1.5,9.5,60.851898193359375
1.5,9.6,60.7049560546875
1.5,9.7,60.5621337890625
1.5,9.8,60.42755126953125
1.5,9.9,60.29571533203125
1.5,10,60.172119140625
1.5,10.1,60.05126953125
1.5,10.2,59.9359130859375
1.5,10.3,59.82330322265625
1.5,10.4,59.7161865234375
1.5,10.5,59.613189697265625
1.5,10.6,59.512939453125
1.5,10.7,59.41680908203125
1.5,10.8,59.32342529296875
1.5,10.9,59.23553466796875
1.5,11,59.14764404296875
1.5,11.1,59.0625
1.5,11.2,58.98284912109375
1.5,11.3,58.90594482421875
1.5,11.4,58.82904052734375
1.5,11.5,58.7548828125
1.5,11.6,58.6834716796875
1.5,11.7,58.61480712890625
1.5,11.8,58.546142578125
1.5,11.9,58.480224609375
1.5,12,58.41705322265625
1.5,12.1,58.35662841796875
1.5,12.2,58.29620361328125
1.5,12.3,58.238525390625
1.5,12.4,58.18359375
1.5,12.5,58.12591552734375
1.6,7.5,65.81634521484375
1.6,7.6,65.16815185546875
1.6,7.7,64.6051025390625
1.6,7.8,64.10247802734375
1.6,7.9,63.6492919921875
1.6,8,63.2373046875
